fname	PID	URL	タイトル	巻次	シリーズ	版表示	著者	出版者	出版年	出版年(W3CDTF)	ISBN	冊数（ページ数・大きさ）	NDC分類	NDC分類（第８版）	NDC分類（第９版）	NDLC分類	件名（NDLSH）	公開範囲
1213439_305_3.jpg	1213439	https://dl.ndl.go.jp/info:ndljp/pid/1213439	農事試験場業績 : 創立二十周年記念	熊岳城分場篇			満鉄農事試験場 編	満鉄農事試験場	昭和10	1935		738p ; 27cm	610					インターネット公開（保護期間満了）
1221178_63_2.jpg	1221178	https://dl.ndl.go.jp/info:ndljp/pid/1221178	施肥標準調査成績	第3報			三重県立農事試験場 編	三重県立農事試験場	昭和13	1938			613					インターネット公開（保護期間満了）
1222443_1157_1.jpg	1222443	https://dl.ndl.go.jp/info:ndljp/pid/1222443	日本紙業綜覧	昭和12年版			王子製紙株式会社販売部調査課 編	王子製紙	昭12	1937		947, 150p ; 23cm	585					インターネット公開（保護期間満了）
1224106_388_0.jpg	1224106	https://dl.ndl.go.jp/info:ndljp/pid/1224106	国産総覧	昭和6年版			国産調査協会 編	国産調査協会	昭和6	1931		120, 283, 372p ; 27cm	602.1					インターネット公開（保護期間満了）
1235593_423_0.jpg	1235593	https://dl.ndl.go.jp/info:ndljp/pid/1235593	日本の産業と貿易の発展				三菱経済研究所 編	三菱経済研究所	昭和10	1935		733p ; 27cm	602.1					インターネット公開（保護期間満了）
1239663_149_1.jpg	1239663	https://dl.ndl.go.jp/info:ndljp/pid/1239663	施肥標準調査成績	第1報			滋賀県立農事試験場 編	滋賀県立農事試験場	昭12	1937		512p 図版 ; 28cm	613					インターネット公開（保護期間満了）
1244757_98_0.jpg	1244757	https://dl.ndl.go.jp/info:ndljp/pid/1244757	三菱電機総型録	工業編			三菱電機株式会社 編	三菱電機	昭和16-18	1943			542					インターネット公開（保護期間満了）
1275572_23_0.jpg	1275572	https://dl.ndl.go.jp/info:ndljp/pid/1275572	産業都市大阪	昭和14年版				大阪商工会議所	昭和15	1940		55p ; 11×16cm	351.63					インターネット公開（保護期間満了）
1350400_54_1.jpg	1350400	https://dl.ndl.go.jp/info:ndljp/pid/1350400	決算検査報告	昭和40年度				会計検査院	[1966]	1966		277p ; 26cm			314.1459	BZ-4		インターネット公開（保護期間満了）
1439887_89_3.jpg	1439887	https://dl.ndl.go.jp/info:ndljp/pid/1439887	大分県統計書	昭和１５年　第３編			大分県総務部統計課 編	大分県総務部統計課	昭和16-18	1943			351.95					インターネット公開（保護期間満了）
1445295_60_3.jpg	1445295	https://dl.ndl.go.jp/info:ndljp/pid/1445295	朝鮮統計要覧	昭和13年				朝鮮総督府	1940	1940		315p ; 15cm	352.1					インターネット公開（保護期間満了）
1447314_21_0.jpg	1447314	https://dl.ndl.go.jp/info:ndljp/pid/1447314	健康保険事業年報	昭和５年度			社会局保険部 編	社会局保険部	昭和7	1932			364					インターネット公開（保護期間満了）
1448064_100_0.jpg	1448064	https://dl.ndl.go.jp/info:ndljp/pid/1448064	朝鮮総督府統計要覧	昭和６年			朝鮮総督府 編	朝鮮総督府	昭和8	1933			352					インターネット公開（保護期間満了）
1448257_619_1.jpg	1448257	https://dl.ndl.go.jp/info:ndljp/pid/1448257	東京市統計年表	第２６回			東京市 編	東京市	昭和5	1930			351.36					インターネット公開（保護期間満了）
1448968_55_2.jpg	1448968	https://dl.ndl.go.jp/info:ndljp/pid/1448968	保険年鑑	自大正１１至１４年度　外国会社			商工省保険部 編	生命保険会社協会	昭和2-10	1935			339					インターネット公開（保護期間満了）
1451771_58_2.jpg	1451771	https://dl.ndl.go.jp/info:ndljp/pid/1451771	金沢市統計書	昭和９年　第５編 （神社宗教・社會事業・衛生水道）			金沢市 編	金沢市	昭11至13	1938			351.43					インターネット公開（保護期間満了）
1454691_85_2.jpg	1454691	https://dl.ndl.go.jp/info:ndljp/pid/1454691	朝鮮総督府統計年報	昭和17年			朝鮮総督府 編	朝鮮総督府	1944.3	1944		461p ; 27cm		352.1		DT191-K2		インターネット公開（保護期間満了）
1466353_120_3.jpg	1466353	https://dl.ndl.go.jp/info:ndljp/pid/1466353	日本国勢図会	昭和４年版			矢野恒太 編	日本評論社	昭和4	1929			351					インターネット公開（保護期間満了）
1466353_89_1.jpg	1466353	https://dl.ndl.go.jp/info:ndljp/pid/1466353	日本国勢図会	昭和４年版			矢野恒太 編	日本評論社	昭和4	1929			351					インターネット公開（保護期間満了）
1659222_99_0.jpg	1659222	https://dl.ndl.go.jp/info:ndljp/pid/1659222	国会制定法	第55・56回				参議院法制局					320.91			CZ-4		インターネット公開（保護期間満了）
1681507_19_1.jpg	1681507	https://dl.ndl.go.jp/info:ndljp/pid/1681507	Statistical abstract for Osaka	21			compiled by the Osaka Municipal Office	The Osaka Municipal Office	昭和5	1930								インターネット公開（保護期間満了）
1710132_18_0.jpg	1710132	https://dl.ndl.go.jp/info:ndljp/pid/1710132	金沢市統計書	大正１４年　第１編 （氣象・土地・戸口）			金沢市 編	金沢市	大正15-昭和10	1935			351.43					インターネット公開（保護期間満了）
1710395_57_1.jpg	1710395	https://dl.ndl.go.jp/info:ndljp/pid/1710395	ソ連邦国民経済統計集				経済安定本部経済復興計画委員会, 経済安定本部総裁官房企画部調査課 共編	経済安定本部	1948	1948			330.59					インターネット公開（保護期間満了）
1710472_39_2.jpg	1710472	https://dl.ndl.go.jp/info:ndljp/pid/1710472	沖縄県統計書	昭和８年　第２編 （學事）			沖縄県総務部統計課 編	沖縄県	昭9至14	1939			351.99					インターネット公開（保護期間満了）
1710804_44_1.jpg	1710804	https://dl.ndl.go.jp/info:ndljp/pid/1710804	沖縄県勢要覧	昭和４年版			沖縄県総務部統計課 編	沖縄県	昭和6	1931			351.99					インターネット公開（保護期間満了）
1710813_36_0.jpg	1710813	https://dl.ndl.go.jp/info:ndljp/pid/1710813	沖縄県勢要覧	昭和６年版			沖縄県総務部統計課 編	沖縄県	昭和8	1933			351.99					インターネット公開（保護期間満了）
1711068_50_2.jpg	1711068	https://dl.ndl.go.jp/info:ndljp/pid/1711068	貯金局統計年報	昭和４年度（第３７回）			貯金局 編	貯金局	昭和5	1930			338					インターネット公開（保護期間満了）
1711154_390_2.jpg	1711154	https://dl.ndl.go.jp/info:ndljp/pid/1711154	台湾総督府統計書	第３６（昭和７年）			台湾総督府 編	台湾総督府	昭和9	1934			352					インターネット公開（保護期間満了）
1711992_101_2.jpg	1711992	https://dl.ndl.go.jp/info:ndljp/pid/1711992	経済統計学			8版	小林新 著	ダイヤモンド社	1934	1934			331.19					インターネット公開（保護期間満了）
1712229_25_2.jpg	1712229	https://dl.ndl.go.jp/info:ndljp/pid/1712229	神戸市統計書	第１７回　第１編 氣象、土地建物及人口			神戸市 編	神戸市	昭和2	1927			351.64					インターネット公開（保護期間満了）
1712269_69_1.jpg	1712269	https://dl.ndl.go.jp/info:ndljp/pid/1712269	神戸市統計書	第２２回　第８編 交通			神戸市 編	神戸市	昭和9	1934			351.64					インターネット公開（保護期間満了）
1719365_60_9.jpg	1719365	https://dl.ndl.go.jp/info:ndljp/pid/1719365	山林要覧	第8次			農林省山林局 編	大日本山林会	1937	1937		301p ; 20cm	650.59					インターネット公開（保護期間満了）
1899942_43_0.jpg	1899942	https://dl.ndl.go.jp/info:ndljp/pid/1899942	壯丁教育調査概況	昭和17年度				文部省國民教育局	[1944]	1944		116p ; 26cm			372.1	FB14	試験 (教育)	インターネット公開（保護期間満了）
1900082_122_0.jpg	1900082	https://dl.ndl.go.jp/info:ndljp/pid/1900082	鐵道旅客手小荷物運賃算出表	昭和2年7月1日現行				鐵道省運輸局	[1927]	1927		77, 405p ; 22cm			686.51	DK111	旅客--日本||鉄道運賃--日本	インターネット公開（保護期間満了）
1900082_173_0.jpg	1900082	https://dl.ndl.go.jp/info:ndljp/pid/1900082	鐵道旅客手小荷物運賃算出表	昭和2年7月1日現行				鐵道省運輸局	[1927]	1927		77, 405p ; 22cm			686.51	DK111	旅客--日本||鉄道運賃--日本	インターネット公開（保護期間満了）
1900092_245_0.jpg	1900092	https://dl.ndl.go.jp/info:ndljp/pid/1900092	鐵道旅客手小荷物運賃算出表	昭和6年6月1日現行				鐵道省運輸局	[1931]	1931		1冊 ; 23cm			686.51	DK111	旅客--日本||鉄道運賃--日本	インターネット公開（保護期間満了）
1909568_369_3.jpg	1909568	https://dl.ndl.go.jp/info:ndljp/pid/1909568	滋賀縣統計全書	大正13年				滋賀縣	1926.3	1926		883, 5p ; 22cm			351.61	DT97		インターネット公開（保護期間満了）
1910200_75_1.jpg	1910200	https://dl.ndl.go.jp/info:ndljp/pid/1910200	奈良縣勢要覽					奈良縣	1930.5	1930		214p ; 14cm				Y994		インターネット公開（保護期間満了）
1910454_59_0.jpg	1910454	https://dl.ndl.go.jp/info:ndljp/pid/1910454	満洲帝國國勢圖表	康徳7年版			國務院總務廳統計處, 建國大學研究院圖表班 編纂	國務院總務廳統計處	1941.5	1941		113p ; 26cm			352.25	DT191-M13		インターネット公開（保護期間満了）
2387638_28_0.jpg	2387638	https://dl.ndl.go.jp/info:ndljp/pid/2387638	福井市統計一斑				福井市 編	福井市	大正13	1924			351.44					インターネット公開（保護期間満了）
2388516_42_0.jpg	2388516	https://dl.ndl.go.jp/info:ndljp/pid/2388516	ソ連邦国民経済統計集				経済安定本部経済復興計画委員会, 経済安定本部総裁官房企画部調査課 共編	経済安定本部	1948	1948			330.59					インターネット公開（保護期間満了）
2388516_47_1.jpg	2388516	https://dl.ndl.go.jp/info:ndljp/pid/2388516	ソ連邦国民経済統計集				経済安定本部経済復興計画委員会, 経済安定本部総裁官房企画部調査課 共編	経済安定本部	1948	1948			330.59					インターネット公開（保護期間満了）
2390763_557_0.jpg	2390763	https://dl.ndl.go.jp/info:ndljp/pid/2390763	税務統計書	昭和11年度			仙台税務監督局 編	仙台税務監督局	昭和12	1937			349					インターネット公開（保護期間満了）
2422852_80_0.jpg	2422852	https://dl.ndl.go.jp/info:ndljp/pid/2422852	厚生白書	昭和35年度版			厚生省大臣官房企画室 編	大蔵省印刷局	1961	1961			498.1				厚生行政	インターネット公開（保護期間満了）
2458450_257_0.jpg	2458450	https://dl.ndl.go.jp/info:ndljp/pid/2458450	青森営林局事業統計書	昭和34年				青森営林局	1960	1960			651.13				国有林--統計	インターネット公開（保護期間満了）
